image_index,beautiful_cat_score,cute_cat_score,lovely_cat_score,charming_cat_score,adorable_cat_score,elegant_cat_score,graceful_cat_score,pretty_cat_score,handsome_cat_score,gorgeous_cat_score,photogenic_cat_score,delightful_cat_score,attractive_cat_score,sweet_cat_score,stunning_cat_score,majestic_cat_score,fluffy_cat_score,playful_cat_score,happy_cat_score,appealing_cat_score,total_score,image_url
46,0.8235064,0.76657325,0.76691,0.9330217,0.6176289,0.45141625,0.7212335,0.644691,0.37615526,0.5680363,0.85067004,0.7538208,0.35314497,0.8045058,0.9028237,0.21139297,0.4543979,0.73407596,0.7714537,0.26989162,12.775349,https://storage.googleapis.com/pretty_cats/image_46.jpg
47,0.967993,0.60458773,0.8490568,0.87087125,0.7497409,0.79324526,0.62746537,0.74428445,0.8127141,0.8353669,0.8010752,0.73819643,0.7861653,0.7388892,0.99199295,0.58184475,0.5218743,0.82904834,0.74399716,0.7486697,15.337078,https://storage.googleapis.com/pretty_cats/image_47.jpg
48,0.8932674,0.4707932,0.40634796,0.741436,0.40200734,0.48606852,0.24367969,0.17028259,0.5023737,0.7366067,0.45131847,0.672727,0.6500183,0.78720486,0.70376265,0.077445135,0.22059159,0.44537875,0.513221,0.5087767,10.083306,https://storage.googleapis.com/pretty_cats/image_48.jpg
49,0.81418496,0.91398096,0.67653054,0.47364724,0.61763024,0.1478284,0.06302094,0.82907236,0.040753525,0.5549812,0.38538912,0.40821546,0.51999694,0.8692958,0.6837792,0.16275239,0.33497727,0.8163663,0.23158538,0.6109423,10.15493,https://storage.googleapis.com/pretty_cats/image_49.jpg
50,0.76727426,0.5891361,0.5876473,0.48967367,0.6998986,0.3526214,0.60978246,0.66010135,0.19190677,0.58231103,0.38523284,0.4047234,0.41114917,0.64067936,0.7118837,0.26449302,0.59176654,0.18710569,0.44481397,0.42376447,9.995965,https://storage.googleapis.com/pretty_cats/image_50.jpg
51,0.84384084,0.8250279,0.90042657,0.9260662,0.88219696,0.45803714,0.57685256,0.7722403,0.51738423,0.6355777,0.9011999,0.7921921,0.77948153,0.8476249,0.9549253,0.08225582,0.42415714,0.863244,0.7622568,0.631845,14.376833,https://storage.googleapis.com/pretty_cats/image_51.jpg
52,0.60302675,0.31503174,0.64395267,0.3440021,0.3662753,0.61580426,0.3327706,0.51399344,0.17863691,0.15486068,0.539496,0.59548384,0.8618387,0.24934512,0.37349102,0.54248124,0.19279301,0.7181302,0.6326012,0.7869047,9.560919,https://storage.googleapis.com/pretty_cats/image_52.jpg
53,0.9082994,0.8654319,0.69899523,0.89455813,0.76831377,0.75506425,0.8080137,0.7730769,0.48264772,0.80686337,0.5609099,0.5255248,0.41279548,0.8070998,0.77128744,0.18712571,0.68379116,0.42515627,0.36653438,0.22987238,12.731363,https://storage.googleapis.com/pretty_cats/image_53.jpg
54,0.6440218,0.48744467,0.42111468,0.26026937,0.54371184,0.87922174,0.78971046,0.6756041,0.5702785,0.6420087,0.28347293,0.71941406,0.5900934,0.5837373,0.64587325,0.20786564,0.74926716,0.43391216,0.35994527,0.56876767,11.055736,https://storage.googleapis.com/pretty_cats/image_54.jpg
55,0.4368914,0.70574385,0.83320004,0.32371655,0.6925392,0.6153727,0.22413935,0.5094622,0.31912303,0.38720733,0.5122742,0.87896556,0.5435245,0.4666239,0.53684366,0.23750475,0.3949737,0.9062279,0.4634182,0.489534,10.477287,https://storage.googleapis.com/pretty_cats/image_55.jpg
56,0.11260297,0.11078079,0.53037524,0.4201813,0.6091727,0.2427855,0.5229607,0.47215915,0.17481656,0.21897551,0.37644535,0.30635434,0.6732072,0.061229695,0.9136293,0.15899284,0.19409737,0.3955769,0.73617435,0.69916177,7.929679,https://storage.googleapis.com/pretty_cats/image_56.jpg
57,0.8910511,0.6286813,0.084564045,0.47337005,0.12431305,0.98312956,0.966456,0.14517264,0.3408549,0.48178333,0.27507,0.8677065,0.47241965,0.6542694,0.3208425,0.8334702,0.8538474,0.8755401,0.9763074,0.91309804,12.161948,https://storage.googleapis.com/pretty_cats/image_57.jpg
58,0.92501205,0.8941992,0.8899167,0.6948752,0.97493005,0.14907762,0.30971736,0.6340097,0.6816721,0.9181016,0.8528663,0.8397661,0.57040703,0.94646186,0.92291874,0.13209786,0.5179438,0.7120926,0.4854253,0.8663413,13.917831,https://storage.googleapis.com/pretty_cats/image_58.jpg
59,0.8959084,0.75272363,0.58322376,0.73807514,0.6137318,0.9482892,0.7669611,0.5739219,0.11509443,0.720306,0.18914023,0.72526914,0.1397677,0.42501876,0.9290489,0.10028455,0.50922817,0.6940767,0.06617619,0.24846046,10.734706,https://storage.googleapis.com/pretty_cats/image_59.jpg
60,0.9344293,0.8417393,0.5853243,0.71149194,0.669376,0.93670666,0.8922513,0.43579176,0.5271625,0.7969735,0.23994784,0.85308045,0.5573988,0.82333976,0.7915933,0.34190944,0.8981659,0.97717756,0.87859976,0.49039006,14.18285,https://storage.googleapis.com/pretty_cats/image_60.jpg
61,0.9160152,0.5697895,0.7200212,0.8541453,0.7468104,0.23168518,0.540805,0.66156936,0.8502852,0.5431468,0.9038544,0.6999046,0.6925632,0.7889633,0.9515008,0.4060098,0.26660112,0.56430763,0.33156177,0.31496343,12.5545025,https://storage.googleapis.com/pretty_cats/image_61.jpg
62,0.9391175,0.7252486,0.7241611,0.9586587,0.511648,0.68029314,0.82736063,0.45070642,0.605784,0.681104,0.9091289,0.8891282,0.47187677,0.7211928,0.8717094,0.4493242,0.7546679,0.41841793,0.77352595,0.32961252,13.692669,https://storage.googleapis.com/pretty_cats/image_62.jpg
