leaderboard_position,image_number,image_url,pretty_similarity,ugly_similarity,global_score,pretty_logit,ugly_logit,pretty_probability,ugly_probability
9674,1209,https://storage.googleapis.com/pretty_cats/image_1209.jpg,0.27483007311820984,0.28639742732048035,-0.011567354202270508,27.483009338378906,28.639745712280273,0.23926080763339996,0.7607392072677612
9675,6954,https://storage.googleapis.com/pretty_cats/image_6954.jpg,0.255403995513916,0.2669748067855835,-0.01157081127166748,25.540401458740234,26.697479248046875,0.2391986846923828,0.7608013153076172
9676,9028,https://storage.googleapis.com/pretty_cats/image_9028.jpg,0.2816842198371887,0.2932555079460144,-0.011571288108825684,28.168424606323242,29.32555389404297,0.2391892969608307,0.7608106732368469
9677,7806,https://storage.googleapis.com/pretty_cats/image_7806.jpg,0.2561240494251251,0.267702579498291,-0.011578530073165894,25.612403869628906,26.7702579498291,0.23905743658542633,0.7609425783157349
9678,5230,https://storage.googleapis.com/pretty_cats/image_5230.jpg,0.2535436749458313,0.26512932777404785,-0.011585652828216553,25.3543701171875,26.512935638427734,0.23892803490161896,0.7610719203948975
9679,4240,https://storage.googleapis.com/pretty_cats/image_4240.jpg,0.2652219831943512,0.27681025862693787,-0.01158827543258667,26.522199630737305,27.681028366088867,0.23888017237186432,0.7611198425292969
9680,2615,https://storage.googleapis.com/pretty_cats/image_2615.jpg,0.2774578928947449,0.289075642824173,-0.0116177499294281,27.745790481567383,28.90756607055664,0.23834480345249176,0.7616551518440247
9681,4146,https://storage.googleapis.com/pretty_cats/image_4146.jpg,0.2665517032146454,0.278178870677948,-0.011627167463302612,26.65517234802246,27.817888259887695,0.23817415535449982,0.7618258595466614
9682,6652,https://storage.googleapis.com/pretty_cats/image_6652.jpg,0.2715233862400055,0.28315162658691406,-0.01162824034690857,27.1523380279541,28.31516456604004,0.2381540834903717,0.7618459463119507
9683,4101,https://storage.googleapis.com/pretty_cats/image_4101.jpg,0.2609208822250366,0.2725721001625061,-0.011651217937469482,26.092090606689453,27.257211685180664,0.2377380132675171,0.7622619867324829
9684,3501,https://storage.googleapis.com/pretty_cats/image_3501.jpg,0.2719542384147644,0.2836141586303711,-0.01165992021560669,27.195425033569336,28.361417770385742,0.2375800758600235,0.7624198794364929
9685,7454,https://storage.googleapis.com/pretty_cats/image_7454.jpg,0.24541160464286804,0.257085382938385,-0.011673778295516968,24.541162490844727,25.708539962768555,0.23732934892177582,0.762670636177063
9686,5924,https://storage.googleapis.com/pretty_cats/image_5924.jpg,0.26074349880218506,0.2724229395389557,-0.01167944073677063,26.074352264404297,27.242292404174805,0.23722752928733826,0.7627725005149841
9687,7041,https://storage.googleapis.com/pretty_cats/image_7041.jpg,0.24155905842781067,0.25323933362960815,-0.011680275201797485,24.15590476989746,25.323928833007812,0.23721234500408173,0.7627876996994019
9688,5124,https://storage.googleapis.com/pretty_cats/image_5124.jpg,0.26282450556755066,0.2745090126991272,-0.011684507131576538,26.282455444335938,27.450908660888672,0.23713469505310059,0.7628653049468994
9689,5228,https://storage.googleapis.com/pretty_cats/image_5228.jpg,0.2777767479419708,0.28952664136886597,-0.011749893426895142,27.777673721313477,28.952667236328125,0.23595358431339264,0.7640464305877686
9690,4747,https://storage.googleapis.com/pretty_cats/image_4747.jpg,0.2542433440685272,0.26599568128585815,-0.011752337217330933,25.424335479736328,26.59956932067871,0.23591023683547974,0.7640897035598755
9691,9097,https://storage.googleapis.com/pretty_cats/image_9097.jpg,0.2638067305088043,0.27556926012039185,-0.011762529611587524,26.380674362182617,27.556928634643555,0.23572637140750885,0.7642736434936523
9692,3528,https://storage.googleapis.com/pretty_cats/image_3528.jpg,0.25620362162590027,0.26798397302627563,-0.011780351400375366,25.6203670501709,26.798404693603516,0.23540523648262024,0.7645947933197021
9693,9561,https://storage.googleapis.com/pretty_cats/image_9561.jpg,0.26059430837631226,0.2723831832408905,-0.011788874864578247,26.059432983398438,27.23832130432129,0.23525214195251465,0.7647478580474854
9694,7769,https://storage.googleapis.com/pretty_cats/image_7769.jpg,0.2540452182292938,0.26586323976516724,-0.011818021535873413,25.40452003479004,26.586326599121094,0.23472754657268524,0.7652724981307983
9695,5849,https://storage.googleapis.com/pretty_cats/image_5849.jpg,0.2667018175125122,0.27853792905807495,-0.011836111545562744,26.670183181762695,27.85379409790039,0.2344035655260086,0.7655964493751526
9696,4424,https://storage.googleapis.com/pretty_cats/image_4424.jpg,0.20780301094055176,0.21967250108718872,-0.011869490146636963,20.780302047729492,21.967252731323242,0.23380474746227264,0.7661952376365662
9697,7821,https://storage.googleapis.com/pretty_cats/image_7821.jpg,0.2536512017250061,0.2655370831489563,-0.011885881423950195,25.365121841430664,26.5537109375,0.23351137340068817,0.7664886116981506
9698,9007,https://storage.googleapis.com/pretty_cats/image_9007.jpg,0.2728971838951111,0.28478938341140747,-0.011892199516296387,27.28972053527832,28.478940963745117,0.2333984076976776,0.7666016221046448
9699,5181,https://storage.googleapis.com/pretty_cats/image_5181.jpg,0.25994688272476196,0.27185672521591187,-0.011909842491149902,25.99468994140625,27.1856746673584,0.23308289051055908,0.7669171690940857
9700,8112,https://storage.googleapis.com/pretty_cats/image_8112.jpg,0.25713270902633667,0.2690468728542328,-0.011914163827896118,25.713272094726562,26.90468978881836,0.23300546407699585,0.7669944763183594
9701,7535,https://storage.googleapis.com/pretty_cats/image_7535.jpg,0.2641758918762207,0.2761436700820923,-0.011967778205871582,26.417591094970703,27.61436653137207,0.2320493459701538,0.7679505944252014
